dataset	NCBIname	nLoci	Ltot_avg	Ltot_std	GCtot_avg	GCtot_std	GC12_avg	GC12_std	GC3_avg	GC3_std	GCutr_avg	GCutr_std	r_CorrectedExpression_GC12	rho_CorrectedExpression_GC12	tau_CorrectedExpression_GC12	r_CorrectedExpression_GC3	rho_CorrectedExpression_GC3	tau_CorrectedExpression_GC3	r_CorrectedExpression_GCutr	rho_CorrectedExpression_GCutr	tau_CorrectedExpression_GCutr	r_CorrectedExpression_NcJN	rho_CorrectedExpression_NcJN	tau_CorrectedExpression_NcJN	r_CorrectedExpression_NcpJN	rho_CorrectedExpression_NcpJN	tau_CorrectedExpression_NcpJN	r_CorrectedExpression_ENccubt	rho_CorrectedExpression_ENccubt	tau_CorrectedExpression_ENccubt	r_CorrectedExpression_ENcPcubt	rho_CorrectedExpression_ENcPcubt	tau_CorrectedExpression_ENcPcubt	r_CorrectedExpression_ENcFDScubt	rho_CorrectedExpression_ENcFDScubt	tau_CorrectedExpression_ENcFDScubt	r_CorrectedExpression_ENcPFDScubt	rho_CorrectedExpression_ENcPFDScubt	tau_CorrectedExpression_ENcPFDScubt	r_CorrectedExpression_Umcubt	rho_CorrectedExpression_Umcubt	tau_CorrectedExpression_Umcubt	r_CorrectedExpression_Ltot	rho_CorrectedExpression_Ltot	tau_CorrectedExpression_Ltot	r_CorrectedExpression_nReads	rho_CorrectedExpression_nReads	tau_CorrectedExpression_nReads	r_nCountedReads_GC12	rho_nCountedReads_GC12	tau_nCountedReads_GC12	r_nCountedReads_GC3	rho_nCountedReads_GC3	tau_nCountedReads_GC3	r_nCountedReads_GCutr	rho_nCountedReads_GCutr	tau_nCountedReads_GCutr	r_nCountedReads_NcJN	rho_nCountedReads_NcJN	tau_nCountedReads_NcJN	r_nCountedReads_NcpJN	rho_nCountedReads_NcpJN	tau_nCountedReads_NcpJN	r_nCountedReads_ENccubt	rho_nCountedReads_ENccubt	tau_nCountedReads_ENccubt	r_nCountedReads_ENcPcubt	rho_nCountedReads_ENcPcubt	tau_nCountedReads_ENcPcubt	r_nCountedReads_ENcFDScubt	rho_nCountedReads_ENcFDScubt	tau_nCountedReads_ENcFDScubt	r_nCountedReads_ENcPFDScubt	rho_nCountedReads_ENcPFDScubt	tau_nCountedReads_ENcPFDScubt	r_nCountedReads_Umcubt	rho_nCountedReads_Umcubt	tau_nCountedReads_Umcubt	r_nCountedReads_Ltot	rho_nCountedReads_Ltot	tau_nCountedReads_Ltot	r_GC3_GCutr	rho_GC3_GCutr	tau_GC3_GCutr
Lineus_longissimus	Lineus__longissimus	15678	1037.72095	815.7196	0.46905	0.03502	0.45608	0.04179	0.49501	0.07516	0.40631	0.05548	-0.0212	-0.13551	-0.0941	0.17316	0.1237	0.0832	nan	-0.3515	-0.96194	-0.10272	-0.02834	-0.01897	-0.13559	-0.02696	-0.01775	nan	-0.06247	-0.04176	nan	-0.06685	-0.04459	-0.11865	-0.05806	-0.038	-0.13229	-0.08016	-0.05326	nan	0.05546	-0.60572	-0.10085	-0.04393	-0.02881	0.99626	0.97462	0.8923	0.05673	0.02867	0.01928	0.15926	0.09676	0.06551	nan	-0.34593	-0.947	-0.10945	-0.03152	-0.02117	-0.14977	-0.04301	-0.02869	nan	-0.05607	-0.04136	nan	-0.06104	-0.04479	-0.11563	-0.04218	-0.02739	-0.12378	-0.05298	-0.03501	nan	0.03692	-0.7773	-0.10047	-0.0365	-0.02364	nan	0.08953	-0.95421
Lineus_ruber2	Lineus__ruber	26549	777.04708	787.20416	0.46908	0.03707	0.45661	0.04507	0.49405	0.08115	0.40411	0.05839	-0.01382	-0.14188	-0.0972	0.14579	0.12131	0.08171	nan	-0.50049	-0.99025	-0.0399	0.02655	0.01756	-0.0522	0.02635	0.01751	nan	0.31615	0.21677	nan	0.32349	0.22092	0.09414	0.30144	0.20384	0.09007	0.29869	0.20096	nan	-0.31348	-0.82735	0.13222	0.39121	0.27067	0.99614	0.96434	0.88123	0.04739	0.0471	0.03271	0.13641	0.09412	0.06529	nan	-0.50683	-1.01269	-0.04514	0.02359	0.01609	-0.05965	0.02709	0.01846	nan	0.34679	0.24926	nan	0.35561	0.17155	0.10238	0.34608	0.24412	0.10295	0.35183	0.24762	nan	-0.34939	-0.84623	0.13678	0.42081	0.30238	nan	-0.00634	-0.99089
Liocarcinus_depurator	Liocarcinus__depurator	9919	693.59875	668.5903	0.50723	0.05597	0.48261	0.05616	0.55652	0.11101	0.40136	0.07882	-0.00271	-0.03776	-0.02427	0.10842	0.05045	0.03427	nan	-0.60353	-0.92141	-0.09416	-0.04634	-0.03114	-0.13973	-0.08339	-0.05664	nan	0.26389	0.17246	nan	0.30825	0.2048	nan	0.27875	0.18806	nan	0.28872	0.19495	nan	-0.33784	-0.88036	0.22023	0.41594	0.28319	0.99665	0.96116	0.86672	0.0115	0.01308	0.00879	0.11668	0.07064	0.04868	nan	-0.62766	-0.91209	-0.09014	-0.04106	-0.02794	-0.13632	-0.07949	-0.05498	nan	0.30963	0.15737	nan	0.35493	0.18368	nan	0.32397	0.22913	nan	0.33139	0.23412	nan	-0.38306	-0.71953	0.23109	0.46439	0.32663	nan	0.06485	-0.98907
Macaca_mulatta	Macaca__mulatta	10498	436.48276	352.71923	0.48635	0.06987	0.47006	0.05596	0.51903	0.14964	0.44535	0.09898	0.00351	-0.08159	-0.06027	0.18558	0.24343	0.16248	nan	-0.34055	-0.99569	-0.10644	-0.12813	-0.08541	-0.08925	-0.11292	-0.07534	0.2585	0.29979	0.20232	0.36313	0.42882	0.29084	0.28	0.32183	0.21518	0.33049	0.38147	0.25612	nan	-0.43805	-0.97411	0.44552	0.54031	0.37559	0.99125	0.92728	0.80283	0.10882	0.21047	0.14145	0.21496	0.31935	0.21668	nan	-0.34016	-1.02902	-0.1244	-0.17071	-0.11539	-0.10377	-0.1576	-0.1065	0.25458	0.30201	0.20685	0.36422	0.43496	0.29885	0.29583	0.37379	0.2567	0.34915	0.43234	0.29777	nan	-0.45027	-0.98442	0.44674	0.54708	0.38489	nan	0.01343	-0.99986
Melitaea_athalia	Melitaea__abbas	7111	499.47996	378.86356	0.41119	0.06222	0.42618	0.05608	0.38114	0.11992	0.29266	0.08429	-0.01113	-0.29794	-0.22204	0.19949	0.11196	0.07552	nan	-0.4801	-0.98967	0.00179	-0.02522	-0.01637	-0.09934	0.00459	0.00217	0.28415	0.36756	0.24379	0.25712	0.4054	0.27385	0.26533	0.32488	0.2129	0.24414	0.3255	0.21382	nan	-0.40429	-0.95114	0.34578	0.51546	0.3549	0.97913	0.81222	0.656	0.18657	0.20405	0.14061	0.25813	0.27543	0.1905	nan	-0.53753	-1.0445	0.03123	0.06292	0.04318	-0.1432	-0.08632	-0.05989	0.3156	0.53032	0.37437	0.25202	0.47505	0.3323	0.31282	0.51818	0.36439	0.28011	0.48448	0.33835	nan	-0.48486	-0.91453	0.34099	0.58933	0.42151	nan	-0.13435	-0.9982
Melitaea_cinxia	Melitaea__cinxia	12258	770.54054	549.41429	0.41342	0.06755	0.42863	0.05937	0.38298	0.1214	0.27491	0.08133	-0.00851	-0.24007	-0.16846	0.0589	-0.09867	-0.0658	nan	-0.08715	-0.94342	-0.01348	-0.09261	-0.06154	-0.14025	-0.03078	-0.01959	nan	-0.16325	-0.10794	nan	-0.13469	-0.08919	nan	-0.19002	-0.12572	nan	-0.1587	-0.1041	nan	0.11085	-0.49932	-0.12795	-0.11133	-0.07418	0.9926	0.91962	0.7806	0.09926	0.08305	0.05605	0.11215	0.05329	0.03613	nan	-0.05695	-0.9082	0.02245	0.01799	0.01212	-0.16663	-0.10277	-0.06911	nan	-0.0744	-0.04933	nan	-0.15541	-0.10437	nan	-0.10417	-0.06913	nan	-0.13051	-0.08725	nan	0.11019	-0.6737	-0.13554	-0.13505	-0.09109	nan	0.12679	-0.93834
Melitaea_didyma	Melitaea__didyma	10065	532.66865	421.46829	0.40458	0.06175	0.42161	0.05617	0.37045	0.11418	0.28281	0.08144	-0.00673	-0.22968	-0.16485	0.13872	0.04894	0.0336	nan	-0.55308	-0.97756	0.01607	-0.02364	-0.01493	-0.08425	0.01882	0.01165	0.28364	0.38179	0.255	0.25233	0.42767	0.29065	0.26	0.34638	0.22903	0.23534	0.35327	0.23428	nan	-0.41718	-0.91802	0.30622	0.5293	0.36481	0.99124	0.90603	0.76871	0.12368	0.12214	0.08378	0.18391	0.17356	0.11934	nan	-0.58029	-1.02652	0.04237	0.0498	0.03421	-0.11293	-0.04391	-0.03047	0.30933	0.49259	0.34577	0.24909	0.465	0.32569	0.2931	0.47495	0.33239	0.25881	0.45408	0.31707	nan	-0.46201	-0.94808	0.30157	0.56261	0.40016	nan	-0.05862	-0.99158
Melitaea_parthenoides	Mellicta__parthenoides	7751	499.27532	424.77584	0.41055	0.06131	0.42536	0.05554	0.38088	0.11617	0.28571	0.07924	-0.00953	-0.29725	-0.22575	0.1661	0.05669	0.03894	nan	-0.51838	-0.97754	0.02452	-0.0305	-0.01924	-0.08112	0.0019	5e-05	0.24671	0.31634	0.20949	0.20065	0.35469	0.23824	0.224	0.28011	0.18312	0.1944	0.28901	0.18959	nan	-0.35949	-0.95151	0.23355	0.46599	0.31769	0.98102	0.8281	0.67175	0.17862	0.17591	0.12138	0.22682	0.22009	0.15181	nan	-0.58254	-1.05458	0.05576	0.05269	0.03658	-0.1184	-0.08712	-0.06058	0.27876	0.46955	0.32708	0.19455	0.4141	0.28684	0.26854	0.45718	0.31726	0.22498	0.42259	0.29181	nan	-0.42435	-0.93824	0.22826	0.52308	0.36853	nan	-0.09684	-0.99403
Mellicta_athalia	Mellicta__athalia	7116	499.1588	378.77531	0.41129	0.06231	0.42625	0.05627	0.38129	0.11991	0.29307	0.08464	-0.01084	-0.29822	-0.22204	0.19989	0.11163	0.07528	nan	-0.48197	-0.98945	0.00316	-0.02476	-0.01606	-0.09856	0.0041	0.00184	0.28549	0.36873	0.24452	0.25833	0.40563	0.2739	0.26677	0.32576	0.21335	0.24587	0.3265	0.21433	nan	-0.40125	-0.90143	0.34545	0.51558	0.35497	0.97939	0.81269	0.65644	0.18545	0.20342	0.14018	0.25846	0.27534	0.19041	nan	-0.53701	-1.05064	0.03327	0.0642	0.04407	-0.1417	-0.08578	-0.05955	0.31745	0.532	0.37549	0.25368	0.47588	0.33265	0.31447	0.51941	0.36521	0.28195	0.48538	0.33874	nan	-0.47999	-0.9185	0.34065	0.58904	0.42112	nan	-0.13105	-0.99758
Mellicta_parthenoides	Mellicta__plotina	7747	499.34052	424.81588	0.41065	0.06144	0.42543	0.05559	0.38104	0.11641	0.28593	0.07964	-0.00989	-0.29603	-0.22502	0.16509	0.05715	0.03927	nan	-0.51795	-0.97504	0.02513	-0.02887	-0.01817	-0.07996	0.00289	0.00069	0.24661	0.31758	0.2103	0.20029	0.35559	0.23873	0.2245	0.28169	0.18426	0.19446	0.2898	0.19002	nan	-0.36978	-0.94442	0.23248	0.46671	0.31814	0.9809	0.82844	0.67227	0.17915	0.17605	0.12161	0.226	0.22021	0.1519	nan	-0.5828	-1.05475	0.05551	0.05355	0.03716	-0.11806	-0.0865	-0.06023	0.27757	0.46907	0.32678	0.19321	0.4137	0.28655	0.26837	0.45794	0.31792	0.22452	0.42297	0.29209	nan	-0.4359	-0.95488	0.22666	0.52302	0.36856	nan	-0.09402	-0.99669
Messor_barbarus	Messor__barbarus	10086	1051.02548	996.39814	0.45609	0.07108	0.44581	0.06019	0.47665	0.12627	0.38899	0.09862	-0.01538	-0.05668	-0.03554	0.01254	-0.03339	-0.02116	nan	-0.15969	-0.71055	0.0373	0.02199	0.01457	-0.05756	-0.01003	-0.00637	nan	-0.07214	-0.04825	nan	-0.12721	-0.08656	-0.06984	-0.07839	-0.05268	-0.09562	-0.11829	-0.0802	nan	0.11155	-0.5914	-0.16941	-0.12242	-0.08393	0.9911	0.96354	0.85454	-0.01292	-0.02928	-0.01786	0.02389	-0.01632	-0.00973	nan	-0.18753	-0.92062	0.06363	0.07051	0.04736	-0.05231	-0.00503	-0.00304	nan	0.01538	0.00802	nan	-0.05885	-0.04359	-0.02976	-0.00212	-0.00315	-0.06194	-0.05441	-0.03915	nan	0.05067	-0.85383	-0.14354	-0.05677	-0.04224	nan	0.2612	-0.85418
Messor_capitatus	Messor__capitatus	10551	881.55691	760.21795	0.45165	0.06639	0.44278	0.05467	0.46942	0.12507	0.36145	0.0892	-0.00755	-0.1066	-0.07193	0.01101	-0.04731	-0.03065	nan	-0.56727	-0.89356	0.03347	0.02832	0.01924	-0.01687	0.05541	0.03664	0.13051	0.27932	0.18678	0.11396	0.31958	0.21487	0.12556	0.27576	0.18482	0.12685	0.30842	0.2067	nan	-0.30513	-0.66766	0.14034	0.37191	0.25136	0.99474	0.95243	0.85748	0.0423	0.03532	0.02452	0.04066	0.03086	0.02141	nan	-0.58242	-0.97208	0.0549	0.07837	0.05396	-0.01978	0.04399	0.02983	0.16234	0.36641	0.25393	0.13429	0.37831	0.26259	0.15601	0.35682	0.24738	0.15346	0.3783	0.26254	nan	-0.35948	-0.83252	0.15484	0.42721	0.29817	nan	0.12989	-0.96501
Messor_structor	Messor__structor	11801	955.14253	900.51397	0.46205	0.07444	0.44925	0.06104	0.48767	0.13423	0.39226	0.0953	-0.00958	-0.05158	-0.02997	-0.04403	-0.09744	-0.06307	nan	-0.45689	-0.86368	0.05624	0.027	0.01854	0.01505	0.04806	0.03157	0.13308	0.19667	0.12895	0.10836	0.20378	0.13225	0.12761	0.19837	0.13031	0.1081	0.2007	0.13118	nan	-0.19909	-0.72671	0.07655	0.23343	0.15161	0.98605	0.94695	0.82556	-0.02086	-0.04594	-0.02889	-0.03193	-0.07674	-0.05009	nan	-0.50067	-0.7892	0.08909	0.07929	0.0538	0.02322	0.05415	0.0362	0.18654	0.30152	0.20132	0.1495	0.29142	0.19359	0.17359	0.28844	0.19248	0.14625	0.28117	0.18736	nan	-0.27925	-0.67757	0.10801	0.31925	0.21245	nan	0.24672	-0.96122
Metasepia_pfefferi	Metasepia__pfefferi	5116	437.11532	269.18454	0.4111	0.0445	0.43147	0.05693	0.3703	0.07503	0.32238	0.07606	-0.00751	-0.02908	-0.01983	0.10309	0.07629	0.05187	nan	-0.41592	-0.96246	-0.03069	-0.04634	-0.03136	-0.05546	-0.06097	-0.04184	0.31667	0.38254	0.26054	0.33308	0.40213	0.27642	0.29117	0.35364	0.23818	0.30292	0.36667	0.25017	nan	-0.42212	-0.91581	0.4011	0.49071	0.34952	0.99262	0.98965	0.93266	0.09316	0.07803	0.05376	0.09996	0.0726	0.05037	nan	-0.41003	-1.00412	-0.03459	-0.05174	-0.03544	-0.07034	-0.07608	-0.05305	0.34383	0.41251	0.28729	0.3591	0.43026	0.30269	0.32641	0.39274	0.27158	0.34799	0.41328	0.28976	nan	-0.4493	-0.95971	0.42168	0.51871	0.37875	nan	0.0172	-0.97998
Microtus_agrestis	Microtus__agrestis	16368	765.83999	737.33753	0.50987	0.06457	0.48646	0.05855	0.55675	0.12124	0.47164	0.08615	0.00073	0.01702	0.00953	0.12545	0.11941	0.07997	nan	-0.59504	-0.9122	-0.04964	-0.06646	-0.04459	-0.03295	-0.04354	-0.02927	0.26906	0.38519	0.25816	0.33602	0.47094	0.31745	0.28662	0.41241	0.27796	0.32628	0.46441	0.31477	nan	-0.46392	-0.85221	0.27991	0.52469	0.3563	0.99386	0.95866	0.86739	-0.00301	0.03681	0.02456	0.1392	0.14913	0.10168	nan	-0.61196	-0.91409	-0.04844	-0.07473	-0.0508	-0.03682	-0.05762	-0.03918	0.29015	0.43802	0.30218	0.35718	0.52624	0.36689	0.30502	0.45832	0.31814	0.34356	0.50926	0.35537	nan	-0.5154	-0.84472	0.29678	0.5833	0.41244	nan	0.12357	-0.98855
Microtus_arvalis	Microtus__arvalis	11715	1113.14102	1060.57427	0.51422	0.06423	0.48813	0.05693	0.56642	0.11723	0.47697	0.08949	-0.00634	0.08138	0.05779	0.06551	0.09062	0.06039	nan	-0.02417	-0.78243	-0.02519	-0.03145	-0.02111	-0.05338	-0.03272	-0.02179	-0.11021	-0.09067	-0.06121	-0.12232	-0.10114	-0.06935	-0.10166	-0.07348	-0.04992	-0.10321	-0.06881	-0.04695	nan	0.06223	-0.59048	-0.16395	-0.11134	-0.07644	0.99709	0.97837	0.89933	-0.07402	-0.06473	-0.04346	0.04331	0.03741	0.02483	nan	-0.07843	-0.82788	-0.00975	0.00527	0.00352	-0.04798	-0.01551	-0.0101	-0.09748	-0.0562	-0.0385	-0.11688	-0.07898	-0.05458	-0.10107	-0.06359	-0.0432	-0.10685	-0.06461	-0.04396	nan	0.05035	-0.79143	-0.16019	-0.09785	-0.06782	nan	0.37202	-0.89811
Microtus_glareolus	Myodes__glareolus	13362	587.30976	568.81604	0.5018	0.06345	0.47903	0.0573	0.54743	0.12386	0.46747	0.09013	-0.00061	-0.03226	-0.02489	0.1309	0.117	0.07832	nan	-0.55012	-0.9821	-0.04595	-0.05943	-0.03974	-0.0379	-0.05103	-0.03402	0.33856	0.46581	0.31637	0.40244	0.54708	0.376	0.34443	0.47892	0.32643	0.37583	0.51756	0.3545	nan	-0.53889	-0.92523	0.40822	0.62072	0.43585	0.99306	0.91721	0.79753	0.00799	0.03894	0.02699	0.14399	0.1575	0.10881	nan	-0.57439	-1.04212	-0.04758	-0.07497	-0.05157	-0.04094	-0.06597	-0.04531	0.35607	0.5353	0.38087	0.42133	0.6201	0.44839	0.36106	0.54148	0.38675	0.39279	0.57983	0.41613	nan	-0.60729	-0.91694	0.42391	0.70176	0.52295	nan	-0.00771	-0.99885
Monodelphis_domestica	Monodelphis__domestica	14221	446.66641	339.40414	0.45504	0.0579	0.45461	0.05265	0.45589	0.11998	0.41407	0.08322	-1e-05	-0.05299	-0.03745	0.1577	0.21526	0.14342	nan	-0.36912	-0.99687	0.00073	-0.01344	-0.00878	-0.04151	-0.05769	-0.0388	0.31764	0.40067	0.27293	0.3065	0.39647	0.26896	0.30636	0.3931	0.26674	0.28426	0.36411	0.24509	nan	-0.38935	-0.9771	0.36363	0.48392	0.33379	0.99609	0.96364	0.86853	0.05474	0.1148	0.07714	0.16962	0.24645	0.16571	nan	-0.35899	-1.01618	-0.00534	-0.03467	-0.02279	-0.05083	-0.08734	-0.05879	0.33148	0.43416	0.30113	0.3177	0.42245	0.29105	0.32583	0.44148	0.30658	0.30294	0.40968	0.28165	nan	-0.4152	-0.92861	0.37335	0.51287	0.35979	nan	0.01222	-0.99923
Mus_musculus	Mus__musculus	13012	432.23094	322.85381	0.48502	0.05475	0.46501	0.05044	0.52516	0.11599	0.448	0.08299	-0.00332	-0.02818	-0.0197	0.11403	0.13878	0.09245	nan	-0.34493	-0.99764	-0.04002	-0.06052	-0.04043	-0.03696	-0.06021	-0.04031	0.33071	0.39069	0.26479	0.36525	0.43954	0.29976	0.32894	0.39746	0.26925	0.33574	0.40961	0.27721	nan	-0.43915	-0.96259	0.44854	0.53622	0.37381	0.9964	0.97473	0.88586	0.03848	0.0911	0.06116	0.12545	0.16742	0.11277	nan	-0.34023	-1.01651	-0.04624	-0.07948	-0.05337	-0.04002	-0.07172	-0.04831	0.33728	0.40476	0.27807	0.37258	0.45359	0.3136	0.34116	0.42516	0.29313	0.34803	0.43655	0.30046	nan	-0.45084	-0.9728	0.4543	0.55147	0.38984	nan	0.04218	-0.99957
Mytilus_californianus	Mytilus__californianus	19769	650.0778	495.29062	0.38015	0.03203	0.4142	0.04509	0.31196	0.05131	0.3134	0.05748	-0.00413	-0.27941	-0.20929	0.12322	0.11481	0.07726	nan	-0.49517	-0.98458	-0.04126	-0.06251	-0.04196	-0.05718	0.02384	0.01443	nan	0.30127	0.20269	nan	0.35395	0.23773	0.12425	0.26315	0.17494	0.12893	0.28565	0.18808	nan	-0.29324	-0.92364	0.17845	0.41724	0.2831	0.98809	0.87687	0.73548	0.14689	0.11173	0.07803	0.09615	0.05089	0.0357	nan	-0.52233	-1.0462	-0.05986	-0.12909	-0.08862	-0.10415	-0.08327	-0.05851	nan	0.36747	0.25886	nan	0.43339	0.30059	0.1388	0.35585	0.24735	0.15965	0.41606	0.29101	nan	-0.39137	-0.67612	0.19095	0.51076	0.36441	nan	-0.01902	-0.99862
Mytilus_edulis	Mytilus__edulis	34441	735.47031	562.98696	0.38406	0.03269	0.42001	0.04702	0.31208	0.05117	0.31435	0.06394	-0.01037	-0.20183	-0.15172	0.14673	0.1326	0.08977	nan	-0.2483	-0.99715	0.0143	0.01807	0.01213	-0.05267	0.03429	0.02401	nan	-0.03715	-0.02891	nan	-0.06033	-0.04635	-0.07499	-0.06093	-0.03953	-0.09525	-0.08885	-0.05842	nan	0.06198	-0.82585	-0.07734	-0.0417	-0.027	0.97928	0.88004	0.72671	0.18713	0.19359	0.13188	0.10474	0.0586	0.03969	nan	-0.26937	-0.97904	-0.00573	-0.02448	-0.01679	-0.12516	-0.09607	-0.06537	nan	-0.02326	-0.03535	nan	-0.04047	-0.04563	-0.06277	-0.01796	-0.01163	-0.06002	-0.00458	-0.00272	nan	0.00677	-0.75875	-0.06932	-0.00349	-0.00112	nan	-0.03811	-0.99289
Mytilus_galloprovincialis	Mytilus__galloprovincialis	29892	711.34936	563.43737	0.38592	0.03357	0.42213	0.04848	0.31339	0.05229	0.31811	0.06876	-0.01402	-0.20302	-0.1514	0.16114	0.1508	0.10219	nan	-0.18609	-0.99906	0.01479	0.03404	0.02292	-0.06514	0.02293	0.01655	nan	-0.1118	-0.07497	nan	-0.16486	-0.11073	-0.1226	-0.14785	-0.09775	-0.14822	-0.18954	-0.12561	nan	0.14275	-0.72959	-0.13803	-0.14764	-0.09886	0.98052	0.88111	0.72735	0.17777	0.1901	0.12858	0.11888	0.07548	0.05073	nan	-0.18774	-1.00542	-0.00526	-0.0016	-0.00115	-0.1364	-0.10374	-0.06998	nan	-0.11622	-0.1266	nan	-0.16885	-0.15494	-0.11278	-0.12332	-0.08311	-0.11468	-0.124	-0.08353	nan	0.10753	-0.58722	-0.13471	-0.13844	-0.09317	nan	-0.04482	-0.99812
Mytilus_trossulus	Mytilus__trossulus	27142	576.32242	394.81627	0.37969	0.03295	0.41221	0.04637	0.31456	0.05211	0.3109	0.05911	-0.00693	-0.2507	-0.18623	0.13799	0.13659	0.09226	nan	-0.43964	-0.99225	-0.03564	-0.04689	-0.0315	-0.05774	0.0169	0.01049	nan	0.24132	0.16204	nan	0.27774	0.186	0.09251	0.19931	0.13205	0.10045	0.21843	0.14357	nan	-0.22776	-0.85976	0.14978	0.33762	0.22763	0.98848	0.8885	0.74868	0.14123	0.12424	0.08598	0.1129	0.0787	0.05478	nan	-0.4533	-1.03031	-0.05457	-0.11078	-0.07583	-0.10082	-0.08103	-0.05645	nan	0.30182	0.15216	nan	0.35116	0.17868	0.11181	0.28703	0.19822	0.13416	0.33976	0.23519	nan	-0.31436	-0.67228	0.16252	0.42354	0.29783	nan	-0.04251	-0.99563
Necora_puber	Necora__puber	13899	1037.36463	1017.44805	0.5107	0.05985	0.48739	0.05816	0.55734	0.11319	0.43213	0.08198	0.00637	0.05838	0.03976	0.13269	0.11492	0.07698	nan	-0.12242	-0.9477	-0.02166	-0.00305	-0.00212	-0.09034	-0.06371	-0.0428	nan	-0.05249	-0.01586	nan	-0.08041	-0.02172	nan	-0.03472	0.01408	nan	-0.06756	-0.00482	nan	0.05167	-0.84644	-0.105	-0.05848	-0.03941	0.99561	0.97381	0.88728	-0.04589	-0.0498	-0.03342	0.12833	0.09912	0.06714	nan	-0.16409	-0.91348	-0.00659	0.02995	0.01991	-0.08201	-0.04889	-0.03319	nan	-0.00469	-0.0561	nan	-0.04004	-0.07735	nan	-0.00362	-0.00023	nan	-0.05031	-0.03159	nan	0.02278	-0.86535	-0.09349	-0.02003	-0.01493	nan	0.15304	-0.87689
Nycticebus_coucang	Nycticebus__coucang	13290	402.65177	285.34774	0.46998	0.06319	0.46047	0.05438	0.48906	0.13066	0.42446	0.08891	-0.00396	-0.05884	-0.04088	0.15615	0.20341	0.13566	nan	-0.33932	-0.99746	-0.05075	-0.06363	-0.04275	-0.06875	-0.08926	-0.06016	0.27577	0.33592	0.2275	0.30497	0.37211	0.252	0.27849	0.34181	0.23102	0.27612	0.32946	0.22177	nan	-0.39017	-0.98354	0.39548	0.48222	0.33249	0.99474	0.96088	0.85734	0.07149	0.14328	0.09643	0.17755	0.25607	0.17313	nan	-0.3332	-1.03217	-0.0607	-0.08883	-0.06002	-0.08011	-0.12136	-0.0824	0.2817	0.35199	0.24257	0.30911	0.37977	0.26098	0.29631	0.38452	0.26614	0.29291	0.3676	0.25294	nan	-0.39911	-0.99548	0.39888	0.49602	0.34777	nan	0.01466	-0.99947
Ophioderma_longicauda_L1	Ophioderma__longicauda	13540	621.74165	550.52743	0.43638	0.04196	0.44351	0.0507	0.42211	0.06905	0.37383	0.0612	-0.00829	-0.20291	-0.14384	0.18582	0.10317	0.06968	nan	-0.19635	-0.98447	0.00587	0.03464	0.02302	-0.06465	0.01648	0.01129	nan	-0.05783	-0.03808	nan	-0.07613	-0.04973	nan	-0.06596	-0.04371	nan	-0.09249	-0.06105	nan	0.05731	-0.98815	-0.03269	-0.0684	-0.04461	0.99304	0.92979	0.82145	0.09462	0.05597	0.03779	0.18636	0.11046	0.07527	nan	-0.19616	-0.83884	0.00654	0.03966	0.02687	-0.07997	-0.01476	-0.00995	nan	0.0047	-0.03421	nan	-0.02073	-0.05299	nan	0.01403	-0.0297	nan	-0.00632	-0.04384	nan	-0.00573	-0.79023	-0.01792	-0.01007	-0.00615	nan	-0.00803	-0.94281
Ophioderma_longicauda_L3	Ophioderma__panamensis	19854	585.14561	572.70093	0.43764	0.03988	0.44692	0.0495	0.41904	0.06968	0.37358	0.05619	-0.00717	-0.20754	-0.14698	0.12225	0.07098	0.04799	nan	-0.63219	-0.97061	-0.00688	0.00527	0.00367	-0.04619	0.02457	0.01615	nan	0.20144	0.13635	nan	0.21497	0.14586	0.12697	0.1861	0.12398	0.11112	0.18524	0.1228	nan	-0.20352	-0.95086	0.1876	0.25956	0.17782	0.99831	0.96403	0.87591	0.04767	-0.00166	-0.001	0.12044	0.05746	0.04026	nan	-0.63781	-0.97936	-0.00608	0.00217	0.00181	-0.05247	0.0042	0.00278	nan	0.2484	0.17363	nan	0.25881	0.18148	0.14269	0.24907	0.1744	0.12867	0.25588	0.17935	nan	-0.25148	-0.88501	0.19564	0.30439	0.21751	nan	-0.02805	-0.99291
Ostrea_chilensis	Ostrea__chilensis	6139	510.67079	329.55254	0.43741	0.04023	0.43889	0.04841	0.43445	0.07593	0.33976	0.06606	0.00994	-0.19584	-0.14079	0.12091	0.10541	0.07094	nan	-0.55298	-0.97135	-0.01319	-0.00571	-0.00398	-0.05982	-0.00752	-0.00521	nan	0.34366	0.22997	nan	0.33749	0.22533	0.16251	0.30369	0.20128	0.1464	0.28827	0.18988	nan	-0.32521	-0.90127	0.18445	0.43526	0.29549	0.99502	0.92616	0.81527	0.09743	0.08602	0.05961	0.11997	0.10644	0.07347	nan	-0.59138	-0.95997	-0.01284	-0.01209	-0.00814	-0.0663	-0.02222	-0.01536	nan	0.41009	0.23223	nan	0.39593	0.22186	0.18662	0.3943	0.27236	0.17385	0.38896	0.26792	nan	-0.39154	-0.80767	0.19179	0.49065	0.34386	nan	-0.09239	-0.99326
