dataset	NCBI_name	nLoci	Ltot_avg	Ltot_std	GCtot_avg	GCtot_std	GC3_avg	GC3_std	GCutr_avg	GCutr_std	r.expression_GC12	rho.expression_GC12	tau.expression_GC12	r.expression_GC3	rho.expression_GC3	tau.expression_GC3	r.expression_ENc	rho.expression_ENc	tau.expression_ENc	r.expression_ENc	rho.expression_ENc	tau.expression_ENc	r.expression_ENcP	rho.expression_ENcP	tau.expression_ENcP	r.expression_ENcFDS	rho.expression_ENcFDS	tau.expression_ENcFDS	r.expression_ENcPFDS	rho.expression_ENcPFDS	tau.expression_ENcPFDS	r.expression_Um	rho.expression_Um	tau.expression_Um	r.expression_Ltot	rho.expression_Ltot	tau.expression_Ltot	r.expression_nReads	rho.expression_nReads	tau.expression_nReads	r.nReads_GC12	rho.nReads_GC12	tau.nReads_GC12	r.nReads_GC3	rho.nReads_GC3	tau.nReads_GC3	r.nReads_ENc	rho.nReads_ENc	tau.nReads_ENc	r.nReads_ENc	rho.nReads_ENc	tau.nReads_ENc	r.nReads_ENcP	rho.nReads_ENcP	tau.nReads_ENcP	r.nReads_ENcFDS	rho.nReads_ENcFDS	tau.nReads_ENcFDS	r.nReads_ENcPFDS	rho.nReads_ENcPFDS	tau.nReads_ENcPFDS	rho.nReads_Um	tau.nReads_Um
Melitaea_athalia	Melitaea abbas	7111	499.479960624	378.863563702	0.4111850186	0.0622222336	0.3811354681	0.1199191981	0.2926605367	0.0842942178	-0.0111282742	-0.2979389986	-0.2220380827	0.1994943974	0.1119632362	0.0755214832	0.2841474236	0.3675598618	0.243789721	0.2841474236	0.3675598618	0.243789721	0.2571229276	0.4053952918	0.2738525047	0.2653317815	0.3248843971	0.2129005168	0.2441415243	0.3254989249	0.2138156441	nan	-0.404288506	-0.9511449781	0.3457810037	0.5154634231	0.3549012599	0.9791307254	0.8122154972	0.6559993886	0.1865747561	0.2040513441	0.1406062445	0.2581300067	0.2754285394	0.1905032538	0.3155980714	0.5303184602	0.3743749118	0.3155980714	0.5303184602	0.3743749118	0.2520202278	0.4750489203	0.3323029175	0.3128206401	0.5181771429	0.3643945216	0.2801129518	0.4844849979	0.3383460782	-0.4848570975	-0.9145333903
Melitaea_cinxia	Melitaea cinxia	12258	770.54054495	549.414290717	0.4134207412	0.0675502403	0.3829770335	0.1213988914	0.2749074747	0.0813337649	-0.0085134023	-0.2400700602	-0.1684607503	0.0588951844	-0.0986688444	-0.0657955597	nan	-0.1632487069	-0.1079413583	nan	-0.1632487069	-0.1079413583	nan	-0.1346889194	-0.0891936642	nan	-0.1900206617	-0.1257186815	nan	-0.158701622	-0.1040976298	nan	0.1108549264	-0.4993174383	-0.1279503013	-0.1113337156	-0.0741763784	0.9926026615	0.9196190976	0.7805959871	0.099260864	0.0830477227	0.0560542157	0.1121521893	0.0532922871	0.0361267427	nan	-0.0744019227	-0.0493347646	nan	-0.0744019227	-0.0493347646	nan	-0.1554126395	-0.1043662234	nan	-0.1041655999	-0.0691318666	nan	-0.1305094364	-0.0872543125	0.1101857863	-0.6736952232
Melitaea_didyma	Melitaea didyma	10065	532.668653751	421.468294766	0.4045757664	0.0617472556	0.3704497492	0.1141806333	0.2828143213	0.0814390535	-0.006730089	-0.2296802703	-0.1648482713	0.1387196863	0.0489406125	0.0336045791	0.2836432269	0.3817891188	0.2549964181	0.2836432269	0.3817891188	0.2549964181	0.2523324769	0.4276742701	0.2906466693	0.2599950414	0.3463813976	0.2290305866	0.2353357951	0.3532733176	0.2342777701	nan	-0.4171817271	-0.9180156161	0.306221409	0.5293046138	0.3648092209	0.9912394966	0.9060311961	0.7687054189	0.1236801448	0.1221370903	0.0837844	0.1839111338	0.1735640528	0.1193428068	0.3093302462	0.4925916135	0.3457680631	0.3093302462	0.4925916135	0.3457680631	0.249091367	0.4650010676	0.3256896654	0.2931023973	0.4749502258	0.3323915148	0.2588105574	0.4540793883	0.3170662493	-0.4620116698	-0.9480763996
Melitaea_parthenoides	Mellictaparthenoides	7751	499.275319314	424.775838259	0.4105502445	0.0613148136	0.3808807688	0.1161663065	0.285709984	0.0792436272	-0.0095328588	-0.2972483018	-0.225745797	0.1660998315	0.056690405	0.0389424241	0.2467088479	0.3163397118	0.2094926087	0.2467088479	0.3163397118	0.2094926087	0.2006473144	0.3546898715	0.2382379636	0.2240017815	0.2801066421	0.1831161007	0.1944027615	0.2890117629	0.1895850597	nan	-0.3594902087	-0.9515126641	0.233551526	0.4659942019	0.3176885918	0.9810180421	0.8280987548	0.6717483768	0.1786238663	0.1759141595	0.1213846397	0.2268152068	0.2200938555	0.1518086893	0.2787627363	0.4695512943	0.3270795028	0.2787627363	0.4695512943	0.3270795028	0.1945494324	0.4140995199	0.2868440828	0.2685388192	0.4571754186	0.3172649325	0.2249818106	0.4225882434	0.2918114362	-0.4243472559	-0.938241876
Mellicta_athalia	Mellicta athalia	7116	499.158797077	378.775312409	0.4112868246	0.0623127111	0.3812871648	0.1199068377	0.2930670181	0.0846400212	-0.0108448078	-0.2982152961	-0.2220367653	0.1998920261	0.1116349666	0.0752765117	0.2854922148	0.3687287912	0.2445244788	0.2854922148	0.3687287912	0.2445244788	0.2583259849	0.405626898	0.2739012877	0.2667686642	0.3257591052	0.2133480056	0.2458742874	0.3265040203	0.2143279374	nan	-0.4012499128	-0.9014324311	0.345445109	0.5155800762	0.3549721174	0.9793925211	0.8126858071	0.6564418675	0.1854466831	0.2034182754	0.1401778145	0.2584612985	0.2753360479	0.1904100332	0.3174452019	0.5320044786	0.3754937219	0.3174452019	0.5320044786	0.3754937219	0.2536764501	0.4758758329	0.3326542048	0.3144671418	0.5194095483	0.3652140686	0.2819483439	0.4853814525	0.3387437237	-0.4799919148	-0.9184968106
Mellicta_parthenoides	Mellicta plotina	7747	499.340518911	424.815877733	0.4106514602	0.0614446562	0.3810440453	0.1164093839	0.2859272701	0.0796413785	-0.0098877877	-0.2960346438	-0.2250244932	0.1650921747	0.0571506672	0.0392651913	0.2466081253	0.3175786222	0.2103019653	0.2466081253	0.3175786222	0.2103019653	0.2002905228	0.3555866633	0.2387251596	0.2244982392	0.2816891247	0.1842556863	0.1944640718	0.2897979655	0.1900174932	nan	-0.3697765885	-0.9444168293	0.232477045	0.4667092032	0.3181418792	0.980904509	0.8284395889	0.6722742964	0.179150137	0.1760532697	0.1216110454	0.226003752	0.220214478	0.1518962465	0.2775654616	0.4690653592	0.3267808968	0.2775654616	0.4690653592	0.3267808968	0.1932087353	0.4137046717	0.2865487315	0.2683664231	0.4579429634	0.3179223402	0.2245150205	0.4229674751	0.2920850928	-0.4358956253	-0.9548776808
Messor_barbarus	Messor barbarus	12056	1098.88105508	1095.44451825	0.4560124704	0.0704610665	0.476590186	0.1257238152	0.3888725274	0.0976125145	-0.0038880337	-0.0470544947	-0.0296135883	0.0243449964	-0.0216948821	-0.0135445327	nan	-0.0807601031	-0.05414387	nan	-0.0807601031	-0.05414387	nan	-0.13945247	-0.095084277	-0.0740478825	-0.0868360187	-0.0583273939	-0.100064265	-0.1280895823	-0.0868139395	nan	0.1230437197	-0.8689714939	-0.169516092	-0.1320010222	-0.0904692334	0.9915384505	0.9660861301	0.8598913802	-0.0009909494	-0.0182705985	-0.0106135963	0.035778899	-0.0039275984	-0.0014759307	nan	0.0051431638	0.0003456654	nan	0.0051431638	0.0003456654	nan	-0.072240554	-0.0535826722	-0.0342191561	-0.0114646501	-0.0094451185	-0.0668794792	-0.0650730801	-0.0463336747	0.0627581725	-0.8606044472
Messor_capitatus	Messor capitatus	11637	926.98006359	903.901922701	0.4515181526	0.0660378647	0.4693028313	0.124537814	0.3620260378	0.0880134973	-0.0016927492	-0.0929420837	-0.062524767	0.0200405122	-0.0355755067	-0.0227992762	0.1294648506	0.2775861952	0.1853987851	0.1294648506	0.2775861952	0.1853987851	0.1093473781	0.3108419032	0.2086677924	0.1240139114	0.2725030045	0.1823220799	0.1229569652	0.3014449653	0.2016502375	nan	-0.2968996628	-0.6585308001	0.1318632049	0.3633067198	0.2451522489	0.9952821461	0.9604000093	0.8715022691	0.0454729348	0.0365203042	0.0253101931	0.0484219524	0.0360267617	0.0250138356	0.1601901296	0.3573852788	0.2469198085	0.1601901296	0.3573852788	0.2469198085	0.1289293081	0.3641714562	0.251946003	0.1533040454	0.3466926192	0.2395213728	0.1481961305	0.3644175336	0.2519646057	-0.3462831731	-0.5714888259
Messor_structor	Messor structor	13986	1025.33490633	1035.00396895	0.4604169797	0.0733965734	0.4850309998	0.1329506478	0.3919240285	0.0922337114	0.0004308754	-0.0400614158	-0.0234179737	-0.0234620992	-0.0782798325	-0.0501438024	0.127286206	0.1935031241	0.1266447548	0.127286206	0.1935031241	0.1266447548	0.090691288	0.1860129243	0.120086427	0.1218994784	0.192777644	0.1262641005	0.097539414	0.1872522781	0.1218183212	nan	-0.1813794608	-0.6689854275	0.0638663765	0.2172764568	0.1404422999	0.9885906375	0.9601965953	0.8491293422	-0.0053255103	-0.0279356228	-0.0163871396	-0.0105421726	-0.057329129	-0.0365928452	0.1770286564	0.2865201565	0.1905151709	0.1770286564	0.2865201565	0.1905151709	0.1289441006	0.2625198028	0.1732805841	0.1652432841	0.2736373241	0.1816915959	0.1335671951	0.2584384899	0.1710963687	-0.25062929	-0.7323964126
Metasepia_pfefferi	Metasepia pfefferi	5116	437.115324472	269.1845365	0.4110965723	0.0445008871	0.3702977296	0.0750299219	0.3223799624	0.0760622199	-0.0075137341	-0.0290759077	-0.0198317531	0.1030898234	0.0762907282	0.0518674674	0.3166652643	0.3825433772	0.2605419763	0.3166652643	0.3825433772	0.2605419763	0.333077541	0.4021333355	0.2764175266	0.291166607	0.3536414427	0.2381820511	0.3029196369	0.3666656364	0.2501655353	nan	-0.4221200523	-0.9158081204	0.4011016957	0.4907050669	0.3495159273	0.9926207206	0.9896543624	0.9326565783	0.0931552621	0.0780316927	0.0537633141	0.0999555475	0.0726039222	0.0503697758	0.3438290439	0.4125082658	0.2872934564	0.3438290439	0.4125082658	0.2872934564	0.3590954855	0.4302616321	0.3026899543	0.3264088874	0.3927448219	0.2715789106	0.3479935124	0.4132819821	0.2897638194	-0.4492982974	-0.959712516
Microtus_agrestis	Microtus agrestis	16763	778.506711209	755.325579794	0.5099104241	0.0644526632	0.5569719247	0.1210616299	0.4715530422	0.0861990417	-0.0003144773	0.0156498005	0.0087153364	0.126518045	0.1203311088	0.0805683108	0.2691432836	0.3851281202	0.2580734205	0.2691432836	0.3851281202	0.2580734205	0.3364108271	0.4708655526	0.3172627054	0.2873217162	0.4125462945	0.2779818941	0.3272135886	0.4645425517	0.3146649809	nan	-0.4600776593	-0.880881376	0.2765248344	0.5232698075	0.3551359652	0.9939981251	0.9609254206	0.8714569745	-0.0039262516	0.0349405093	0.0232424524	0.1399721783	0.1491540147	0.1016170618	0.29001031	0.4362547794	0.3007436549	0.29001031	0.4362547794	0.3007436549	0.3572343873	0.5242603397	0.3651367948	0.3054714708	0.4568935238	0.3168880258	0.3442627399	0.5078453868	0.3539590366	-0.5094842633	-0.7675694227
Microtus_arvalis	Microtus arvalis	12902	1137.0126337	1104.94040284	0.5141498722	0.0640206959	0.5662371301	0.1172129724	0.4762497055	0.0892192549	-0.0054870495	0.0811973971	0.057426913	0.0687952337	0.0945971607	0.0631379092	-0.1138960983	-0.0942978454	-0.0636505084	-0.1138960983	-0.0942978454	-0.0636505084	-0.1249574841	-0.1057935258	-0.072609711	-0.1041772144	-0.0771535888	-0.0524531674	-0.1044481292	-0.0730506523	-0.0499412547	nan	0.0678609343	-0.5882944424	-0.1671365974	-0.1147415651	-0.0788951736	0.9971166425	0.9792536615	0.9014936026	-0.0730715854	-0.0620684055	-0.0417314325	0.0467169767	0.0423243212	0.0281435089	-0.1013386807	-0.0604519178	-0.041337547	-0.1013386807	-0.0604519178	-0.041337547	-0.1195289678	-0.083571492	-0.0577405905	-0.1036044973	-0.0670872778	-0.0455828031	-0.1079803711	-0.068210786	-0.0464930432	0.0562048717	-0.8596754321
Microtus_glareolus	Myodes glareolus	13362	587.309759018	568.816036473	0.5018048735	0.0634515632	0.5474261742	0.1238563244	0.4674709772	0.0901321112	-0.0006079273	-0.0322550633	-0.0248850763	0.130900161	0.1170006633	0.0783243261	0.3385574414	0.4658071673	0.3163659535	0.3385574414	0.4658071673	0.3163659535	0.4024423785	0.547079948	0.3759983934	0.3444348511	0.4789161175	0.326434771	0.3758299313	0.5175616928	0.3545018472	nan	-0.5388920755	-0.9252335342	0.4082156322	0.6207233677	0.4358464555	0.9930569232	0.9172084178	0.7975340538	0.0079947692	0.0389446185	0.0269895633	0.1439899994	0.1575011186	0.108807719	0.3560677219	0.5352953869	0.3808718633	0.3560677219	0.5352953869	0.3808718633	0.4213292179	0.6200995631	0.4483862703	0.361058265	0.5414812252	0.3867545508	0.3927893613	0.57983284	0.4161333575	-0.6072874268	-0.9169393037
Monodelphis_domestica	Monodelphis domestica	14221	446.666408832	339.404140345	0.4550351681	0.0579041999	0.4558862512	0.119976661	0.4140671888	0.0832160099	-1.43E-005	-0.0529927535	-0.037447022	0.1576958501	0.2152557397	0.1434193473	0.3176353544	0.4006686591	0.2729306173	0.3176353544	0.4006686591	0.2729306173	0.3064960669	0.396472102	0.2689622429	0.3063550243	0.3930996898	0.2667398334	0.284264244	0.3641072769	0.2450946266	nan	-0.389350276	-0.9770954643	0.363629787	0.483919279	0.3337943204	0.9960871393	0.9636378231	0.8685339449	0.0547430589	0.1148038705	0.0771444505	0.1696222483	0.2464500461	0.1657124658	0.3314804231	0.4341571314	0.3011260555	0.3314804231	0.4341571314	0.3011260555	0.3177017635	0.4224482921	0.2910502244	0.3258284994	0.4414847586	0.3065839835	0.3029369241	0.4096760749	0.2816516762	-0.4152039548	-0.9286099293
Mus_musculus	Mus musculus	13012	432.23094067	322.853813073	0.4850246244	0.0547470654	0.5251635148	0.1159880815	0.4479999376	0.0829920647	-0.0033213189	-0.0281777178	-0.019695016	0.1140299781	0.1387813567	0.0924467937	0.3307116915	0.3906904429	0.2647893774	0.3307116915	0.3906904429	0.2647893774	0.3652494472	0.4395435057	0.2997589285	0.3289433312	0.3974565562	0.269246227	0.3357417075	0.4096099664	0.2772139206	nan	-0.439146036	-0.9625876194	0.4485371391	0.5362153112	0.3738126017	0.996400576	0.9747280199	0.8858605812	0.0384796438	0.0910977416	0.0611594892	0.125448891	0.1674158646	0.1127651302	0.3372790795	0.4047567091	0.2780672246	0.3372790795	0.4047567091	0.2780672246	0.3725790139	0.4535875184	0.3135950915	0.3411552743	0.4251581132	0.293131384	0.3480311753	0.4365518552	0.3004641163	-0.450835194	-0.9728027073
Mytilus_californianus	Mytilus californianus	19769	650.077798574	495.290620896	0.3801466344	0.0320304273	0.3119570757	0.0513065158	0.3134020561	0.0574788736	-0.0041314334	-0.2794132142	-0.2092871699	0.1232178281	0.114812523	0.0772619053	nan	0.3012725793	0.2026930531	nan	0.3012725793	0.2026930531	nan	0.3539520134	0.2377270002	0.1242471444	0.2631544619	0.1749410093	0.1289327711	0.2856473594	0.1880766328	nan	-0.2932434625	-0.9236438146	0.1784528442	0.4172406228	0.2830962829	0.9880915619	0.8768659837	0.7354764235	0.1468923056	0.1117264113	0.0780278823	0.0961481068	0.0508878709	0.0357005881	nan	0.3674700803	0.2588594258	nan	0.3674700803	0.2588594258	nan	0.4333850201	0.3005933729	0.138802548	0.3558455298	0.2473489069	0.1596507408	0.4160640383	0.2910120562	-0.3913673539	-0.6761242939
Mytilus_edulis	Mytilus edulis	34441	735.470311547	562.986956019	0.3840638112	0.0326935271	0.3120797975	0.0511732815	0.314350281	0.0639439421	-0.0103656736	-0.2018321078	-0.151719091	0.1467331311	0.1326043904	0.0897688848	nan	-0.037146895	-0.0289129357	nan	-0.037146895	-0.0289129357	nan	-0.0603267752	-0.0463475135	-0.0749949425	-0.0609284096	-0.0395338885	-0.0952544736	-0.0888548401	-0.058422094	nan	0.061982107	-0.8258523433	-0.0773375849	-0.0417008919	-0.0270013872	0.9792810345	0.8800404291	0.7267102224	0.1871264653	0.1935902423	0.13188351	0.1047449306	0.0586032383	0.0396867601	nan	-0.0232588548	-0.0353516176	nan	-0.0232588548	-0.0353516176	nan	-0.0404670699	-0.0456331805	-0.0627722559	-0.0179592297	-0.0116295991	-0.0600212819	-0.0045826443	-0.0027220816	0.0067717038	-0.7587496011
Mytilus_galloprovincialis	Mytilus galloprovincialis	29892	711.349357688	563.437371236	0.3859241434	0.0335728917	0.3133932217	0.0522891808	0.3181053005	0.0687617996	-0.0140212657	-0.2030203374	-0.1514024294	0.1611435642	0.1507986302	0.1021851311	nan	-0.1117950206	-0.0749736227	nan	-0.1117950206	-0.0749736227	nan	-0.164860754	-0.1107282452	-0.1226042093	-0.1478481548	-0.0977457902	-0.1482186478	-0.1895397755	-0.1256135408	nan	0.1427474706	-0.7295916537	-0.1380317152	-0.1476427964	-0.0988613616	0.9805225674	0.8811119255	0.7273452952	0.1777716634	0.1901041487	0.1285753707	0.118875502	0.0754810142	0.0507342349	nan	-0.1162196905	-0.12660325	nan	-0.1162196905	-0.12660325	nan	-0.1688472744	-0.1549433503	-0.1127847745	-0.1233163442	-0.0831104221	-0.1146772816	-0.1239993331	-0.0835318706	0.107529021	-0.5872209332
Mytilus_trossulus	Mytilus trossulus	27142	576.322415445	394.816274528	0.3796935588	0.0329545082	0.3145609512	0.0521082732	0.3108954388	0.0591137279	-0.0069312123	-0.2507034247	-0.1862306879	0.137986251	0.136587129	0.0922550058	nan	0.2413174606	0.1620436258	nan	0.2413174606	0.1620436258	nan	0.2777418671	0.1860005691	0.0925145168	0.1993076825	0.1320492516	0.1004544099	0.2184346811	0.1435675229	nan	-0.2277649046	-0.859760752	0.1497841739	0.3376228251	0.2276256061	0.9884798103	0.8884978731	0.7486849549	0.1412283277	0.1242363938	0.0859829497	0.1128986596	0.078702088	0.0547825486	nan	0.3018165584	0.1521618738	nan	0.3018165584	0.1521618738	nan	0.3511627105	0.1786846694	0.1118138305	0.2870312078	0.1982173932	0.1341552133	0.3397625966	0.2351865553	-0.3143619288	-0.6722771434
Necora_puber	Necora puber	14391	1046.6475575	1041.73007008	0.5106232365	0.059690898	0.5571823343	0.1129508421	0.4322030271	0.0819101118	0.0060672349	0.0588206634	0.0399502473	0.1327932285	0.1144092618	0.0767058136	nan	-0.0499754981	-0.0368364601	nan	-0.0499754981	-0.0368364601	nan	-0.0784041514	-0.0565108069	nan	-0.0331714412	-0.0220787192	nan	-0.0654831693	-0.0440790931	nan	0.0492139541	-0.90174208	-0.1025279496	-0.0554824851	-0.0374706043	0.9956806242	0.9744964435	0.8888304463	-0.0457196679	-0.0474041261	-0.0318681463	0.1285941371	0.09936217	0.0673647352	nan	-0.0027153497	-0.0561127418	nan	-0.0027153497	-0.0561127418	nan	-0.0382748681	-0.0767552586	nan	-0.0021191715	0.0021056692	nan	-0.0480025949	-0.0278238685	0.0202008133	-0.8795317135
Nycticebus_coucang	Nycticebus coucang	13290	402.651768247	285.347742175	0.4699818131	0.0631935883	0.4890580987	0.130660181	0.4244557531	0.0889109925	-0.0039624819	-0.0588439848	-0.0408846349	0.1561465077	0.2034128419	0.1356648003	0.2757703832	0.3359157732	0.2274961772	0.2757703832	0.3359157732	0.2274961772	0.3049721716	0.3721146383	0.2519957289	0.2784866015	0.3418127856	0.2310208384	0.2761180325	0.3294602079	0.2217706531	nan	-0.39016688	-0.9835382117	0.3954803681	0.4822218476	0.3324930058	0.9947350052	0.9608766485	0.8573394462	0.0714907352	0.1432824529	0.0964258673	0.1775458725	0.2560696323	0.1731345138	0.2817044966	0.3519934926	0.2425749086	0.2817044966	0.3519934926	0.2425749086	0.3091071853	0.379773499	0.2609845307	0.2963096555	0.3845235758	0.2661356413	0.2929050553	0.36760378	0.2529442325	-0.3991103586	-0.995484419
Ophioderma_longicauda_L1	Ophioderma longicauda	13540	621.741654357	550.527433038	0.436383239	0.0419623999	0.4221116351	0.0690510643	0.3738276064	0.0611982997	-0.0082882937	-0.2029102445	-0.1438426036	0.1858239164	0.1031671614	0.0696786085	nan	-0.0578286884	-0.0380765101	nan	-0.0578286884	-0.0380765101	nan	-0.0761260568	-0.0497271713	nan	-0.0659596299	-0.0437061391	nan	-0.0924898132	-0.0610483751	nan	0.0573057206	-0.9881484009	-0.0326925411	-0.068400285	-0.0446121159	0.9930363426	0.9297892903	0.821454498	0.0946184591	0.0559704886	0.0377945554	0.1863612514	0.1104601504	0.0752652528	nan	0.0047031461	-0.0342069457	nan	0.0047031461	-0.0342069457	nan	-0.0207321346	-0.0529904876	nan	0.0140310533	-0.0297045817	nan	-0.0063152944	-0.0438420529	-0.0057308275	-0.7902304049
Ophioderma_longicauda_L3	Ophioderma panamensis	19854	585.145612975	572.700930679	0.4376368164	0.0398756044	0.419044306	0.0696751322	0.373575292	0.0561949892	-0.0071717276	-0.2075374958	-0.146984487	0.1222515178	0.0709820277	0.0479881693	nan	0.2014355509	0.1363518351	nan	0.2014355509	0.1363518351	nan	0.2149675069	0.1458644825	0.1269720656	0.1861004963	0.1239776968	0.1111167687	0.1852351493	0.1228021145	nan	-0.2035182927	-0.9508578972	0.1876027947	0.2595574893	0.177815725	0.9983070704	0.964025859	0.8759137923	0.0476676459	-0.0016550271	-0.0009963716	0.1204371275	0.0574606797	0.0402604331	nan	0.248399815	0.1736331247	nan	0.248399815	0.1736331247	nan	0.2588088984	0.1814789573	0.1426924533	0.2490665687	0.1743961707	0.128666963	0.2558751758	0.1793466675	-0.2514780603	-0.885006361
Ostrea_chilensis	Ostrea chilensis	6139	510.670793289	329.552540519	0.437412824	0.0402322349	0.4344459968	0.0759291414	0.3397615223	0.0660617366	0.0099394811	-0.1958406458	-0.1407864273	0.1209127063	0.1054107867	0.0709367535	nan	0.3436560151	0.2299691271	nan	0.3436560151	0.2299691271	nan	0.3374895812	0.2253270087	0.162512856	0.303693431	0.2012780061	0.1464034195	0.288266723	0.1898800878	nan	-0.3252143748	-0.9012656203	0.1844505095	0.4352593938	0.2954851781	0.9950223226	0.926164806	0.8152688394	0.0974300371	0.0860158547	0.0596082103	0.119971542	0.1064392814	0.0734745316	nan	0.4100925537	0.2322325578	nan	0.4100925537	0.2322325578	nan	0.3959341208	0.2218640399	0.1866201158	0.3942961124	0.2723593817	0.1738478245	0.3889586494	0.2679216752	-0.3915386726	-0.8076715572
Ostrea_edulis	Ostrea edulis	5752	822.495653686	632.239463771	0.4391640009	0.0417544017	0.4416008598	0.0756093991	0.3338312295	0.0630194485	0.0042659528	-0.08886527	-0.0636485096	0.0895518828	0.0625323183	0.0417165731	-0.1185726445	-0.1284494914	-0.0853764954	-0.1185726445	-0.1284494914	-0.0853764954	-0.1435597599	-0.1487867026	-0.0993061563	-0.115472808	-0.1327028729	-0.0881988166	-0.128788149	-0.1504243573	-0.1000458682	nan	0.1091089261	-0.4525888923	-0.105867514	-0.1240493376	-0.0825939783	0.999104154	0.9818105807	0.907511104	0.0447419178	0.0521894697	0.034873806	0.0945201932	0.0815384628	0.0549272168	-0.1139239859	-0.10948484	-0.0735058893	-0.1139239859	-0.10948484	-0.0735058893	-0.1408957104	-0.1403968707	-0.0947428637	-0.1074933881	-0.1041835293	-0.0700781204	-0.119916865	-0.1220319862	-0.0822666004	0.0883152046	-0.7901189044
Ostreola_stentina	Ostrea stentina	3733	422.164478971	227.624594607	0.4413506249	0.0430367496	0.4482987068	0.0827629646	0.3480862935	0.074531368	-0.0026157123	-0.1598491959	-0.1146550744	0.1124071751	0.068963692	0.0467512579	nan	0.273658468	0.1895000762	nan	0.273658468	0.1895000762	nan	0.2744839651	0.1890244046	0.1591671952	0.2286610033	0.1517519325	0.1323283391	0.223991444	0.1483768166	nan	-0.2927763453	-0.9636768145	0.2271557105	0.4075673963	0.2766529145	0.994684471	0.9407912487	0.836813695	0.078831881	0.0900155103	0.061242843	0.1216982653	0.0897711059	0.0619102567	nan	0.3433326119	0.1684797217	nan	0.3433326119	0.1684797217	nan	0.3282396194	0.1604799777	0.1886346877	0.3190902799	0.2188893154	0.1611986745	0.3131487521	0.2142328954	-0.3470667056	-0.9034581447
Pan_troglodytes	Pan troglodytes	9738	415.905319367	315.445280623	0.484901322	0.0706235967	0.5176506567	0.150534077	0.4413932993	0.0995618013	-0.0044014926	-0.0971290589	-0.0702298969	0.1855528428	0.2462691908	0.1637501907	0.2560641797	0.293985117	0.1978104588	0.2560641797	0.293985117	0.1978104588	0.3607154977	0.4185129381	0.2837195251	0.271615989	0.3063115329	0.2044893691	0.3242416545	0.3611854141	0.2420407827	nan	-0.4363237742	-0.9644711411	0.4504903844	0.5318417024	0.3702152878	0.9882947485	0.9165122016	0.778265423	0.1342193531	0.2393173717	0.1619478518	0.2247406184	0.3372653289	0.228577527	0.2504378652	0.2935391448	0.200731598	0.2504378652	0.2935391448	0.200731598	0.3605708578	0.4194788006	0.2872984585	0.2934710862	0.3661501281	0.2513115648	0.3505066408	0.4224313734	0.2907892974	-0.4417109421	-0.9880588816
Parus_caeruleus	Cyanistes caeruleus	3801	689.137858458	550.858545847	0.494320065	0.0708313648	0.5382706513	0.1421768346	0.4248662435	0.0895079431	-0.0064998473	-0.0282282644	-0.0187336234	0.0838780695	0.0612077379	0.0406328531	-0.090773005	-0.0503825482	-0.0349899035	-0.090773005	-0.0503825482	-0.0349899035	nan	-0.0422963123	-0.0273250931	-0.0757339587	-0.0394955474	-0.026904345	-0.0555812776	-0.0156403712	-0.0109469721	nan	0.0143660182	-0.8043090941	-0.1360077622	-0.0735922307	-0.0502418701	0.9980658351	0.9743108421	0.8887613728	-0.0003544857	0.0370732765	0.0251673509	0.0870603939	0.0704483785	0.0471092889	-0.0991327881	-0.0786942653	-0.0536582788	-0.0991327881	-0.0786942653	-0.0536582788	nan	-0.0712251737	-0.0473697153	-0.0825030197	-0.0607323215	-0.0408725256	-0.0616521349	-0.0375680262	-0.0255182493	0.0382030504	-0.5295411521
Pectinaria_koreni_nord	Pectinaria koreni	4066	419.930644368	251.858028291	0.5093504737	0.0597016647	0.5769192195	0.121738302	0.3788046046	0.0985549078	0.0054060975	0.0215856979	0.0141770885	0.0604800138	0.0649850274	0.0437602489	-0.0238426774	0.1245633029	0.086254417	-0.0238426774	0.1245633029	0.086254417	0.014757849	0.1707210041	0.1178378755	-0.0093715077	0.1413048644	0.0970673918	0.0028627617	0.1620528038	0.11106105	nan	-0.2059236082	-0.9272203931	0.0938193886	0.2382637375	0.1668911832	0.9996839709	0.9973933888	0.9689143852	0.0025173965	0.017240211	0.0118217541	0.0601929248	0.063806813	0.0433956711	-0.0222416458	0.1284058252	0.0898437761	-0.0222416458	0.1284058252	0.0898437761	0.0166123633	0.1753169903	0.122498238	-0.0086520457	0.1426984926	0.0992192963	0.0040096947	0.1642092536	0.1138676409	-0.2104279774	-0.8545213512
Pectinaria_koreni_sud	Pectinaria regalis	3414	349.246924429	183.789008861	0.4979632206	0.0615877865	0.5573330729	0.1271197003	0.3771121658	0.0976519899	0.0041987686	-0.0252206715	-0.0180765448	0.1721181482	0.1413787818	0.0952181597	nan	0.148191801	0.137580387	nan	0.148191801	0.137580387	nan	0.2053710826	0.1609451922	0.084830972	0.1713841782	0.1159155743	0.0750715037	0.1598380554	0.1080144632	nan	-0.2841066404	-0.95487215	0.2092825804	0.3376119466	0.2350504248	0.9971893366	0.9909714767	0.9491481976	0.0610213184	0.0545285432	0.0369725482	0.1801081037	0.1545910108	0.1056596263	nan	0.1554548296	0.110644509	nan	0.1554548296	0.110644509	nan	0.2179822838	0.1544077772	0.0989756513	0.1946865923	0.1340264218	0.0919630598	0.1872808205	0.1289225686	-0.2963700943	-0.9987558015
